Numbers 12:3	(Now the man Moses was very meek, above all the men which were on the face of the earth.)
Psalm 128:2	For you shall eat the labor of your hands: happy shall you be, and it shall be well with you.
2 Samuel 8:8	And from Betah, and from Berothai, cities of Hadadezer, king David took exceeding much brass.
1 Chronicles 14:5	And Ibhar, and Elishua, and Elpalet,
Jeremiah 2:25	Withhold your foot from being unshod, and your throat from thirst: but you said, There is no hope: no; for I have loved strangers, and after them will I go.
Psalm 148:1	Praise you the LORD. Praise you the LORD from the heavens: praise him in the heights.
Deuteronomy 8:10	When you have eaten and are full, then you shall bless the LORD your God for the good land which he has given you.
Micah 5:1	Now gather yourself in troops, O daughter of troops: he has laid siege against us: they shall smite the judge of Israel with a rod on the cheek.
2 Samuel 2:12	And Abner the son of Ner, and the servants of Ishbosheth the son of Saul, went out from Mahanaim to Gibeon.
Psalm 44:21	Shall not God search this out? for he knows the secrets of the heart.
Revelation 18:23	And the light of a candle shall shine no more at all in you; and the voice of the bridegroom and of the bride shall be heard no more at all in you: for your merchants were the great men of the earth; for by your sorceries were all nations deceived.
Mark 1:31	And he came and took her by the hand, and lifted her up; and immediately the fever left her, and she ministered to them.
Nehemiah 10:24	Hallohesh, Pileha, Shobek,
Deuteronomy 21:22	And if a man have committed a sin worthy of death, and he be to be put to death, and you hang him on a tree:
Deuteronomy 27:6	You shall build the altar of the LORD your God of whole stones: and you shall offer burnt offerings thereon to the LORD your God:
Romans 15:28	When therefore I have performed this, and have sealed to them this fruit, I will come by you into Spain.
Deuteronomy 11:24	Every place where on the soles of your feet shall tread shall be yours: from the wilderness and Lebanon, from the river, the river Euphrates, even to the uttermost sea shall your coast be.
1 Timothy 5:14	I will therefore that the younger women marry, bear children, guide the house, give none occasion to the adversary to speak reproachfully.
Matthew 19:24	And again I say to you, It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.
James 1:19	Why, my beloved brothers, let every man be swift to hear, slow to speak, slow to wrath:
1 Kings 6:17	And the house, that is, the temple before it, was forty cubits long.
Jeremiah 19:11	And shall say to them, Thus said the LORD of hosts; Even so will I break this people and this city, as one breaks a potter’s vessel, that cannot be made whole again: and they shall bury them in Tophet, till there be no place to bury.
Isaiah 14:15	Yet you shall be brought down to hell, to the sides of the pit.
2 Chronicles 15:13	That whoever would not seek the LORD God of Israel should be put to death, whether small or great, whether man or woman.
1 Chronicles 19:5	Then there went certain, and told David how the men were served. And he sent to meet them: for the men were greatly ashamed. And the king said, Tarry at Jericho until your beards be grown, and then return.
2 Chronicles 24:1	Joash was seven years old when he began to reign, and he reigned forty years in Jerusalem. His mother’s name also was Zibiah of Beersheba.
Judges 18:24	And he said, You have taken away my gods which I made, and the priest, and you are gone away: and what have I more? and what is this that you say to me, What ails you?
Deuteronomy 18:2	Therefore shall they have no inheritance among their brothers: the LORD is their inheritance, as he has said to them.
Genesis 9:26	And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant.
Deuteronomy 30:2	And shall return to the LORD your God, and shall obey his voice according to all that I command you this day, you and your children, with all your heart, and with all your soul;
Ruth 3:17	And she said, These six measures of barley gave he me; for he said to me, Go not empty to your mother in law.
Proverbs 29:23	A man’s pride shall bring him low: but honor shall uphold the humble in spirit.
2 Corinthians 12:13	For what is it wherein you were inferior to other churches, except it be that I myself was not burdensome to you? forgive me this wrong.
Nahum 1:13	For now will I break his yoke from off you, and will burst your bonds in sunder.
Exodus 12:49	One law shall be to him that is home born, and to the stranger that sojournes among you.
Habakkuk 2:6	Shall not all these take up a parable against him, and a taunting proverb against him, and say, Woe to him that increases that which is not his! how long? and to him that lades himself with thick clay!
Jeremiah 33:2	Thus said the LORD the maker thereof, the LORD that formed it, to establish it; the LORD is his name;
Genesis 18:10	And he said, I will certainly return to you according to the time of life; and, see, Sarah your wife shall have a son. And Sarah heard it in the tent door, which was behind him.
Exodus 8:14	And they gathered them together on heaps: and the land stank.
Proverbs 28:22	He that hastens to be rich has an evil eye, and considers not that poverty shall come on him.
Deuteronomy 5:9	You shall not bow down yourself to them, nor serve them: for I the LORD your God am a jealous God, visiting the iniquity of the fathers on the children to the third and fourth generation of them that hate me,
Genesis 36:16	Duke Korah, duke Gatam, and duke Amalek: these are the dukes that came of Eliphaz in the land of Edom; these were the sons of Adah.
